DateTime,Open,High,Low,Close,Volume
20171005 10:00:00.000,1.17636,1.17658,1.17423,1.17463,8630002000
20171005 11:00:00.000,1.17463,1.17492,1.17349,1.17364,14490322000
20171005 12:00:00.000,1.17364,1.17452,1.17249,1.17305,16366635000
20171005 13:00:00.000,1.17306,1.17338,1.17123,1.17221,20586060000
20171005 14:00:00.000,1.17222,1.17353,1.17135,1.17142,16267803000
20171005 15:00:00.000,1.17142,1.17158,1.17029,1.17053,14824578000
20171005 16:00:00.000,1.17053,1.17121,1.17042,1.17092,10361612000
20171005 17:00:00.000,1.17092,1.17101,1.16998,1.17049,7380218000
20171005 18:00:00.000,1.17050,1.17066,1.16991,1.17045,7551453000
20171005 19:00:00.000,1.17045,1.17074,1.17032,1.17054,5491186000
20171005 20:00:00.000,1.17053,1.17116,1.17031,1.17105,3213703000
20171005 21:00:00.000,1.17106,1.17140,1.17092,1.17113,1840406000
20171005 22:00:00.000,1.17113,1.17117,1.17092,1.17102,1822593000
20171005 23:00:00.000,1.17102,1.17140,1.17068,1.17140,3145321000
20171006 00:00:00.000,1.17142,1.17143,1.16990,1.17113,7387348000
20171006 01:00:00.000,1.17113,1.17156,1.17075,1.17093,4732466000
20171006 02:00:00.000,1.17092,1.17137,1.17083,1.17083,3745173000
20171006 03:00:00.000,1.17083,1.17083,1.16944,1.16966,5095224000
20171006 04:00:00.000,1.16967,1.17004,1.16860,1.16996,7463943000
20171006 05:00:00.000,1.16997,1.17024,1.16934,1.16994,5712917000
20171006 06:00:00.000,1.16993,1.17067,1.16893,1.16953,11140643000
20171006 07:00:00.000,1.16952,1.16989,1.16861,1.16887,11791465000
20171006 08:00:00.000,1.16886,1.17006,1.16873,1.16963,9159974000
20171006 09:00:00.000,1.16963,1.17074,1.16946,1.17048,8460624000
20171006 10:00:00.000,1.17046,1.17146,1.17024,1.17074,9079612000
20171006 11:00:00.000,1.17075,1.17121,1.17046,1.17067,8497858000
20171006 12:00:00.000,1.17068,1.17146,1.16693,1.16908,39348855000
20171006 13:00:00.000,1.16909,1.17077,1.16891,1.16978,24821017000
