Model_Name,Features_Type,Model_State,Dataset_Columns,Date_Start,Date_Finish,Total_Time,Epochs Total,Epochs Completed,Valid_Loss,Valid_MAE,Valid_RMSE
model_5_GRU32_multivar11_out1,multivar,new compilation,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow', 'DayOfWeek_Friday', 'DayOfWeek_Monday', 'DayOfWeek_Sunday', 'DayOfWeek_Thursday', 'DayOfWeek_Tuesday', 'DayOfWeek_Wednesday']",2025-03-29 11:35:49.611426,2025-03-29 11:36:14.632654,0 days 00:00:25.021228,1,1,0.0013186554424464,0.0468635074794292,0.0513547547161579
model_1_Dense1_multivar2_out1,multivar,loaded,"['Close', 'Volume']",2025-03-29 11:40:13.649532,2025-03-29 11:41:38.116195,0 days 00:01:24.466663,200,21,0.0041510574519634,0.0839827805757522,0.0911159440875053
model_1_Dense1_univar1_out1,univar,loaded,['Close'],2025-03-29 11:40:09.351605,2025-03-29 11:44:37.146718,0 days 00:04:27.795113,200,71,0.0046734823845326,0.0891124829649925,0.0966797024011612
model_2_RNN1_multivar2_out1,multivar,loaded,"['Close', 'Volume']",2025-03-29 11:41:38.129911,2025-03-29 11:47:53.135464,0 days 00:06:15.005553,200,50,2.646414486662252e-06,0.0016570182051509,0.0023006149567663
model_2_RNN1_univar1_out1,univar,loaded,['Close'],2025-03-29 11:44:37.163731,2025-03-29 11:50:45.269051,0 days 00:06:08.105320,200,51,5.089478690933902e-06,0.0021371114999055,0.0031904478091746
model_3_RNN32_multivar2_out1,multivar,loaded,"['Close', 'Volume']",2025-03-29 11:47:53.135464,2025-03-29 11:52:41.499700,0 days 00:04:48.364236,200,41,1.706390321487561e-05,0.0042699109762907,0.0058419010601937
model_3_RNN32_univar1_out1,univar,loaded,['Close'],2025-03-29 11:50:45.282557,2025-03-29 12:03:37.187348,0 days 00:12:51.904791,200,116,2.5218284918082645e-06,0.0015763140982016,0.002245808718726
model_4_LSTM32_univar1_out1,univar,loaded,['Close'],2025-03-29 12:03:37.187348,2025-03-29 12:10:23.676483,0 days 00:06:46.489135,200,30,1.8373583543507264e-06,0.0013293237425386,0.0019169551087543
model_4_LSTM32_multivar2_out1,multivar,loaded,"['Close', 'Volume']",2025-03-29 11:52:41.515325,2025-03-29 12:13:16.773191,0 days 00:20:35.257866,200,96,2.433885356367682e-06,0.0015908146742731,0.0022063024807721
model_5_GRU32_univar1_out1,univar,loaded,['Close'],2025-03-29 12:10:23.692110,2025-03-29 12:19:17.353446,0 days 00:08:53.661336,200,34,1.2014710364383063e-06,0.0010529204737395,0.0015501426532864
model_5_GRU32_multivar2_out1,multivar,loaded,"['Close', 'Volume']",2025-03-29 12:13:16.788823,2025-03-29 12:21:56.319038,0 days 00:08:39.530215,200,32,1.260892304344452e-06,0.0011130018392577,0.0015880127903074
model_1_Dense1_multivar5_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow']",2025-03-29 12:21:56.975423,2025-03-29 12:23:21.947097,0 days 00:01:24.971674,200,21,0.0012514755362644,0.0452383272349834,0.0500295013189315
